state,city,street,zip,lat,long
AK,Huslia,9455 Kathleen Brook Apt. 651,99746,65.6899,-156.292
AK,Kaktovik,362 Brown Wall,99747,66.6933,-153.994
AK,Wales,8580 Moore Cove,99783,64.7556,-165.6723
AL,Bay Minette,118 Justin Extension,36507,30.8635,-87.7644
AL,Bessemer,98897 Bennett Lodge,35022,33.3224,-86.9657
AL,Birmingham,16285 Jessica Lights,35229,33.4629,-86.7904
AL,Brantley,0043 Henry Plaza,36009,31.571,-86.2743
AL,Cleveland,428 Michael Tunnel Apt. 377,35049,33.9778,-86.5598
AL,Dadeville,550 Cunningham Squares,36853,32.8224,-85.7704
AL,Eldridge,3256 Brooks Field,35554,33.9315,-87.6194
AL,Fairhope,265 Christian Summit Suite 231,36532,30.5012,-87.8835
AL,Gadsden,06393 Nancy Parkways Suite 855,35903,33.9845,-85.9077
AL,Gadsden,622 Robin Run Suite 764,35901,34.048,-85.9246
AL,Grand Bay,1447 Ryan Lodge,36541,30.4983,-88.3282
AL,Grand Bay,32745 Silva Springs Suite 040,36541,30.4983,-88.3282
AL,Grant,8957 Russell Key,35747,34.4959,-86.259
AL,Hartford,64851 Cole Turnpike,36344,31.086,-85.7192
AL,Huntsville,290 Kathryn Fall,35803,34.6205,-86.551
AL,Huntsville,663 Ramirez Trace Apt. 951,35811,34.7789,-86.5438
AL,Huntsville,754 Elliott Creek,35896,34.7543,-86.6546
AL,Jones,4038 Smith Avenue,36749,32.5104,-86.8138
AL,Mobile,250 Benjamin Hill Apt. 026,36617,30.7145,-88.0918
AL,Montgomery,97405 Vazquez Plains,36111,32.3374,-86.2715
AL,Mount Hope,524 Wu Spurs Suite 894,35651,34.4793,-87.4769
AL,Paint Rock,5930 Rebecca Bridge Apt. 444,35764,34.7031,-86.3068
AL,Phenix City,312 Eric Expressway Apt. 014,36869,32.4204,-85.0796
AL,Phil Campbell,954 White Alley Apt. 251,35581,34.347,-87.7154
AL,Plantersville,28812 Charles Mill Apt. 628,36758,32.6176,-86.9475
AL,Ragland,33165 Larry Walks Suite 960,35131,33.7367,-86.1619
AL,Sardis,32600 Cobb Curve,36775,32.2844,-86.992
AL,Woodville,3206 Hall Divide Suite 282,35776,34.6689,-86.2296
AR,Ash Flat,1025 Robin Square,72513,36.2201,-91.6421
AR,Bauxite,72966 Shannon Pass Apt. 391,72011,34.5091,-92.4828
AR,Cherokee Village,83685 Matthew Center Suite 870,72529,36.3011,-91.5281
AR,Cord,3326 Hannah Fords,72524,35.8184,-91.3375
AR,De Queen,25360 Mcgee Forge,71832,34.0442,-94.3386
AR,De Witt,40624 Rebecca Spurs,72042,34.2853,-91.3336
AR,Enola,68248 Deanna Land,72047,35.2087,-92.2123
AR,Gregory,03368 Michelle Trail,72059,35.1791,-91.2594
AR,Haynes,4349 Anna Flat Suite 214,72341,34.8838,-90.7666
AR,Lepanto,7233 John Parks,72354,35.6069,-90.3359
AR,Norman,42965 Christopher Fords Suite 659,71960,34.4596,-93.6743
AR,Norman,7535 Amanda Manors Suite 293,71960,34.4596,-93.6743
AR,Pea Ridge,539 Underwood Divide,72751,36.4539,-94.118
AR,Roland,787 Allen Mount,72135,34.8829,-92.5192
AR,Smackover,2970 Flores Brooks,71762,33.3398,-92.7442
AR,Texarkana,057 Martinez Radial,71854,33.431,-93.8765
AR,Thida,06959 Stephen Branch Suite 246,72165,35.5762,-91.4539
AR,Viola,69608 Perez Mountain Apt. 006,72583,36.3924,-91.9932
AR,Walnut Ridge,5796 Lee Coves Apt. 286,72476,36.0244,-90.9288
AR,Winslow,8986 Fitzgerald Plains,72959,35.8312,-94.1187
AZ,Humboldt,736 Moss Motorway Suite 549,86329,34.5189,-112.2523
AZ,Mesa,01770 Kevin Lodge Suite 190,85201,33.4317,-111.8469
AZ,Paradise Valley,72743 Brian Run,85253,33.5494,-111.9565
AZ,Parks,05597 Michael Spurs,86018,35.2563,-111.95
AZ,Phoenix,08056 Alvarado Club Suite 699,85086,33.8155,-112.1202
AZ,Phoenix,72269 Elizabeth Field Apt. 132,85020,33.5623,-112.0559
AZ,Superior,8172 Robertson Parkways Suite 072,85173,33.2887,-111.0985
CA,Angwin,44417 Williams Manors,94508,38.5769,-122.4477
CA,Azusa,244 Jeffery Rapids,91702,34.1248,-117.9031
CA,Blairsden-Graeagle,8011 Chapman Tunnel Apt. 568,96103,39.8127,-120.6405
CA,Buellton,417 Parks Route,93427,34.6209,-120.1922
CA,Carlotta,010 Weaver Land,95528,40.507,-123.9743
CA,Claremont,7538 Carrie Meadow Suite 574,91711,34.1092,-117.7183
CA,Corona,7898 Wanda Springs,92882,33.8419,-117.6043
CA,Daly City,508 Erin Mount,94015,37.6787,-122.478
CA,Downey,056 Anthony Creek Suite 406,90240,33.9581,-118.1174
CA,Fiddletown,3433 Jones Branch,95629,38.5234,-120.6763
CA,Fields Landing,34180 Lopez Plaza,95537,40.7268,-124.2174
CA,Glendale,671 Cynthia Key Suite 155,91206,34.1556,-118.2322
CA,Glendale,725 Jo Trace Apt. 102,91206,34.1556,-118.2322
CA,Greenview,3277 Fields Meadows Apt. 790,96037,41.5403,-122.9366
CA,Grenada,5916 Susan Bridge Apt. 939,96038,41.6125,-122.5258
CA,Hawthorne,17547 Stephen Turnpike Apt. 846,90250,33.9143,-118.3493
CA,Helm,8088 Sherman Radial Suite 689,93627,36.4992,-120.0936
CA,Huntington Beach,7529 Carter Well Suite 262,92648,33.6773,-118.0051
CA,Indian Wells,8840 Miller Port Suite 645,92210,33.7163,-116.3381
CA,June Lake,168 Michael Coves Suite 343,93529,37.7773,-119.0825
CA,Laguna Hills,07712 Marcus Divide Apt. 831,92637,33.615,-117.7114
CA,Lakeport,6343 Ramirez Skyway Apt. 518,95453,39.047,-122.9328
CA,Los Angeles,386 James Roads Apt. 233,90014,34.0443,-118.2509
CA,Mountain Center,901 Todd Gardens Apt. 466,92561,33.6401,-116.5567
CA,Napa,8699 Lindsay Ford Apt. 486,94558,38.4549,-122.2564
CA,Newhall,47029 Jimmy Tunnel Apt. 106,91321,34.3795,-118.523
CA,Norwalk,094 Owens Underpass,90650,33.9056,-118.0818
CA,Oakland,93914 Gregory Via,94619,37.7878,-122.1884
CA,Palmdale,0638 Fred Ramp Suite 086,93552,34.5715,-118.0231
CA,Parker Dam,06539 Gregory Mountains Suite 029,92267,34.298,-114.156
CA,Port Costa,1250 Christopher Prairie Suite 016,94569,38.046,-122.1866
CA,Sacramento,0371 Aimee Neck Suite 856,95827,38.5662,-121.3286
CA,Sacramento,23383 Denise Pine Apt. 099,95842,38.6865,-121.3494
CA,San Diego,126 Underwood Drive,92128,33.0067,-117.069
CA,San Diego,3495 Williams Stream,92101,32.7185,-117.1593
CA,San Diego,425 Caleb Point Apt. 050,92128,33.0067,-117.069
CA,San Jose,2677 Byrd Village Suite 035,95148,37.3304,-121.7913
CA,San Jose,44864 Melton Vista Suite 310,95148,37.3304,-121.7913
CA,Santa Monica,07177 William Dale Apt. 547,90403,34.0287,-118.4924
CA,Smith River,154 Hernandez Keys,95567,41.9404,-124.1587
CA,Sun City,17666 David Valleys,92585,33.7467,-117.1721
CA,Tomales,84079 Thomas Burgs,94971,38.2427,-122.9145
CA,Vacaville,4940 Donald Throughway Apt. 219,95688,38.3847,-121.9887
CA,Vinton,5758 Yates Center,96135,40.0235,-120.7986
CA,Wendel,101 Carla Loop,96136,40.3406,-120.2824
CO,Arvada,28223 Ward Summit Apt. 664,80005,39.8422,-105.1097
CO,Aurora,368 Rollins Fort Apt. 076,80019,39.7656,-104.7069
